"id","type","price","created","state","owner","deadline"
"40288bcc3c22dab1013c22dba9680003","YEAR",39.9,"2013-01-10 13:08:06",1,"40288bcc3c22dab1013c22dba90e0001","2014-01-10 13:08:06"
"40288bcc3c22dc83013c22dcae5d0003","YEAR",39,"2013-01-10 13:09:13",1,"40288bcc3c22dc83013c22dcae120001","2014-01-10 13:09:13"
"40288bcc3c22e862013c22e880d50003","YEAR",39,"2013-01-10 13:22:08",1,"40288bcc3c22e862013c22e8808f0001","2014-01-10 13:22:08"
"40288bcc3c22e862013c22e8b6b40006","YEAR",39,"2013-01-10 13:22:22",1,"40288bcc3c22e862013c22e8b6b40004","2014-01-10 13:22:22"
"40288bcc3c22e93a013c22e963400003","YEAR",39,"2013-01-10 13:23:06",1,"40288bcc3c22e93a013c22e962f10001","2014-01-10 13:23:06"
"40288bcc3c22e93a013c22ea24920006","YEAR",39,"2013-01-10 13:23:55",1,"40288bcc3c22e93a013c22ea24910004","2014-01-10 13:23:55"
"40288bcc3c22e93a013c22ea46290009","YEAR",39,"2013-01-10 13:24:04",1,"40288bcc3c22e93a013c22ea46280007","2014-01-10 13:24:04"
"40288bcc3c22ea92013c22eac5090003","YEAR",39,"2013-01-10 13:24:36",1,"40288bcc3c22ea92013c22eac4aa0001","2014-01-10 13:24:36"
"40288bcc3c22ec52013c22ecec770003","MONTH",39,"2013-01-10 13:26:57",1,"40288bcc3c22ec52013c22ecec2f0001","2013-02-09 13:26:57"
"40288bcc3c22ec52013c22ed96de0006","MONTH",39,"2013-01-10 13:27:41",1,"40288bcc3c22ec52013c22ed96de0004","2013-02-09 13:27:41"
"40288bcc3c22f0a5013c22f15a280003","YEAR",389,"2013-01-10 13:31:48",1,"40288bcc3c22f0a5013c22f159df0001","2014-01-10 13:31:48"
"40288bcc3c22f31b013c22f3a3bb0003","YEAR",389,"2013-01-10 13:34:17",1,"40288bcc3c22f31b013c22f3a3740001","2014-01-10 13:34:17"
"40288bcc3c22f31b013c22f445c10006","YEAR",389,"2013-01-10 13:34:59",1,"40288bcc3c22f31b013c22f445c10004","2014-01-10 13:34:59"
"40288bcc3c23183f013c2318807a0003","MONTH",24,"2013-01-10 14:14:33",1,"40288bcc3c23183f013c231880360001","2013-02-09 14:14:33"
"40288b9f3c4b780f013c4b84e6a40005","MONTH",49,"2013-01-18 10:37:46",1,"40288b9f3c4b780f013c4b84e6930003","2013-02-17 10:37:46"
"40288b9f3c4b780f013c4c907b0b0009","DAY",9,"2013-01-18 15:30:02",1,"40288b9f3c4b780f013c4c907b0b0007","2013-01-19 15:30:02"
"40288b9f3c4c9165013c4c92b2880003","DAY",9,"2013-01-18 15:32:27",1,"40288b9f3c4c9165013c4c92b2270001","2013-01-19 15:32:27"
